ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToLargeSupermarket_24,Within1Km_25,Within3Km_26,Within5Km_27,DistanceToShopForOtherDailyFood_28,DistanceToDepartmentStore_32,Within5Km_33,Within10Km_34,Within20Km_35,DistanceToCafeEtc_36,Within1Km_37,Within3Km_38,Within5Km_39,DistanceToCafeteriaEtc_40,Within1Km_41,Within3Km_42,Within5Km_43
0,NL00,NL00,1.0,1.8,11.0,23.8,0.8,2.7,2.4,6.7,19.7,1.4,2.8,22.9,49.6,       .,       .,       .,       .
1,GM1680,GM1680,2.2,0.7,1.4,2.6,1.5,5.3,0.4,1.8,7.7,3.4,0.3,0.6,1.6,       .,       .,       .,       .
2,WK168000,WK168000,0.9,1.3,2.5,4.7,0.8,5.2,0.4,2.0,11.2,4.1,0.0,0.0,2.0,       .,       .,       .,       .
3,BU16800000,BU16800000,0.8,1.4,2.5,4.8,0.8,5.1,0.4,2.0,11.2,4.1,0.0,0.0,2.1,       .,       .,       .,       .
4,BU16800009,BU16800009,2.1,0.1,1.9,3.0,1.9,6.4,0.0,2.0,10.1,5.4,0.0,0.0,0.3,       .,       .,       .,       .
5,WK168001,WK168001,0.9,0.7,1.0,3.4,3.9,4.3,0.9,1.2,9.0,3.7,0.0,0.1,2.0,       .,       .,       .,       .
6,BU16800100,BU16800100,0.6,0.8,1.0,3.3,4.0,4.2,1.0,1.1,9.0,3.6,0.0,0.0,2.0,       .,       .,       .,       .
7,BU16800109,BU16800109,2.6,0.0,1.2,3.8,3.2,4.5,0.6,1.8,9.1,3.9,0.0,0.5,1.6,       .,       .,       .,       .
8,WK168002,WK168002,2.7,0.0,1.8,2.1,0.6,7.3,0.0,2.0,10.0,6.4,0.0,0.0,0.0,       .,       .,       .,       .
9,BU16800200,BU16800200,2.7,0.0,1.9,2.1,0.5,7.3,0.0,2.0,10.0,6.4,0.0,0.0,0.0,       .,       .,       .,       .
10,BU16800209,BU16800209,2.8,0.0,1.7,2.1,0.7,7.3,0.0,1.9,10.1,6.3,0.0,0.0,0.0,       .,       .,       .,       .
11,WK168003,WK168003,5.5,0.0,0.0,0.1,3.4,7.9,0.0,2.9,9.5,6.8,0.0,0.0,0.0,       .,       .,       .,       .
12,BU16800300,BU16800300,5.5,0.0,0.0,0.0,3.4,7.9,0.0,2.9,9.5,6.8,0.0,0.0,0.0,       .,       .,       .,       .
