ID,DistrictsAndNeighbourhoods,Encoding_3,Within1Km_45,Within3Km_46,Within5Km_47,DistanceToHotelEtc_48,Within5Km_49,Within105km_50,Within20Km_51,DistanceToDaycareCentres_52,Within1Km_53,Within3Km_54,Within5Km_55,DistanceToOutOfSchoolCare_56,Within1Km_57,Within3Km_58,Within5Km_59,DistanceToSchool_60,Within1Km_61,Within3Km_62,Within5Km_63
0,NL00,NL00,8.0,66.0,145.3,       .,       .,       .,       .,0.7,2.8,19.1,43.5,0.8,2.2,14.2,32.6,0.8,1.7,9.9,22.0
1,GM1680,GM1680,1.8,4.1,9.0,       .,       .,       .,       .,1.2,1.2,2.7,4.8,1.1,1.4,3.1,5.6,1.2,0.8,1.8,3.6
2,WK168000,WK168000,2.7,4.8,12.1,       .,       .,       .,       .,0.5,1.9,4.2,6.2,0.6,1.9,4.7,7.6,0.8,0.7,2.5,4.8
3,BU16800000,BU16800000,2.8,4.8,12.3,       .,       .,       .,       .,0.5,2.0,4.2,6.2,0.6,2.0,4.8,7.6,0.8,0.7,2.5,4.9
4,BU16800009,BU16800009,0.2,4.2,7.1,       .,       .,       .,       .,1.8,0.0,2.5,5.9,1.8,0.1,2.8,6.9,2.0,0.0,1.2,3.5
5,WK168001,WK168001,0.9,2.0,7.0,       .,       .,       .,       .,1.3,0.2,1.1,5.1,1.3,0.2,1.1,7.2,1.1,0.6,1.0,4.2
6,BU16800100,BU16800100,1.0,2.0,6.8,       .,       .,       .,       .,1.2,0.3,1.0,5.0,1.2,0.3,1.0,7.2,0.9,0.7,1.0,4.2
7,BU16800109,BU16800109,0.0,2.2,8.1,       .,       .,       .,       .,2.0,0.0,1.6,5.7,2.0,0.0,2.2,7.7,2.1,0.1,1.3,3.6
8,WK168002,WK168002,1.0,4.7,6.0,       .,       .,       .,       .,2.5,0.0,2.0,4.1,0.6,1.0,3.1,5.1,0.6,1.0,2.0,2.4
9,BU16800200,BU16800200,1.0,4.7,6.0,       .,       .,       .,       .,2.5,0.0,2.1,4.1,0.5,1.0,3.1,5.1,0.5,1.0,2.0,2.4
10,BU16800209,BU16800209,0.8,4.5,6.0,       .,       .,       .,       .,2.6,0.0,1.8,4.1,0.9,0.8,2.8,5.1,0.9,0.8,1.9,2.3
11,WK168003,WK168003,0.0,0.9,3.3,       .,       .,       .,       .,5.3,0.0,0.0,0.2,2.8,0.0,0.7,1.4,2.8,0.0,0.7,1.1
12,BU16800300,BU16800300,0.0,0.9,3.3,       .,       .,       .,       .,5.3,0.0,0.0,0.1,2.9,0.0,0.7,1.3,2.9,0.0,0.7,1.1
13,BU16800309,BU16800309,0.0,1.0,5.4,       .,       .,       .,       .,4.5,0.0,0.0,1.8,2.3,0.0,0.7,2.9,2.3,0.0,0.7,1.9
14,WK168004,WK168004,0.0,0.3,8.9,       .,       .,       .,       .,4.2,0.0,0.1,3.1,4.2,0.0,0.1,3.1,4.2,0.0,0.0,1.9
15,BU16800400,BU16800400,0.0,0.0,9.0,       .,       .,       .,       .,4.3,0.0,0.0,3.2,4.3,0.0,0.0,3.2,4.3,0.0,0.0,1.9
16,BU16800409,BU16800409,0.0,2.7,8.7,       .,       .,       .,       .,3.7,0.0,0.9,3.0,3.7,0.0,0.9,3.0,3.7,0.0,0.4,1.4
17,WK168005,WK168005,0.4,6.0,21.0,       .,       .,       .,       .,1.3,0.2,3.4,7.9,1.2,0.4,3.7,9.9,1.0,0.5,4.2,8.9
18,BU16800500,BU16800500,0.5,6.1,21.4,       .,       .,       .,       .,1.3,0.2,3.4,8.0,1.1,0.4,3.7,10.0,1.0,0.6,4.3,9.0
19,BU16800509,BU16800509,0.0,5.0,17.1,       .,       .,       .,       .,1.9,0.3,3.1,7.0,1.6,0.4,3.8,9.0,1.5,0.4,4.1,8.1
20,WK168006,WK168006,0.8,1.3,3.8,       .,       .,       .,       .,0.5,0.8,1.2,3.4,0.5,0.8,1.2,3.4,0.5,0.8,1.1,2.4
21,BU16800600,BU16800600,0.8,1.3,3.8,       .,       .,       .,       .,0.5,0.8,1.2,3.4,0.5,0.8,1.2,3.4,0.5,0.8,1.1,2.5
22,BU16800609,BU16800609,0.3,1.1,2.6,       .,       .,       .,       .,1.2,0.2,1.2,2.2,1.2,0.2,1.2,2.2,1.2,0.2,1.0,1.2
23,WK168007,WK168007,1.0,1.0,6.0,       .,       .,       .,       .,0.7,0.9,1.0,3.1,0.7,0.9,1.0,4.0,3.7,0.0,0.0,3.0
24,BU16800700,BU16800700,1.0,1.0,6.0,       .,       .,       .,       .,0.7,0.9,1.0,3.1,0.7,0.9,1.0,4.0,3.7,0.0,0.0,3.0
25,BU16800709,BU16800709,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
26,WK168008,WK168008,0.4,1.5,3.7,       .,       .,       .,       .,0.7,0.7,1.6,2.4,0.7,0.7,1.6,2.8,2.7,0.0,0.6,1.9
27,BU16800800,BU16800800,0.5,1.5,3.9,       .,       .,       .,       .,0.6,0.7,1.5,2.5,0.6,0.7,1.5,2.9,2.8,0.0,0.5,1.9
28,BU16800809,BU16800809,0.0,1.5,2.0,       .,       .,       .,       .,1.5,0.4,2.0,2.0,1.5,0.4,2.0,2.0,2.2,0.0,1.0,1.4
29,WK168009,WK168009,0.1,1.0,1.6,       .,       .,       .,       .,2.1,0.0,1.0,1.3,2.1,0.0,1.0,1.3,2.2,0.0,1.0,1.3
30,BU16800900,BU16800900,0.1,1.0,1.7,       .,       .,       .,       .,2.1,0.0,1.0,1.3,2.1,0.0,1.0,1.3,2.3,0.0,1.0,1.3
31,BU16800909,BU16800909,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
32,WK168011,WK168011,0.0,0.5,2.9,       .,       .,       .,       .,3.4,0.0,0.3,2.1,3.4,0.0,0.3,2.1,4.4,0.0,0.0,1.3
33,BU16801100,BU16801100,0.0,0.5,2.9,       .,       .,       .,       .,3.4,0.0,0.3,2.1,3.4,0.0,0.3,2.1,4.4,0.0,0.0,1.3
34,BU16801109,BU16801109,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
35,WK168012,WK168012,0.4,1.5,3.3,       .,       .,       .,       .,2.2,0.0,1.5,2.8,2.2,0.0,1.5,2.8,2.2,0.0,1.5,2.8
36,BU16801200,BU16801200,0.4,1.5,3.2,       .,       .,       .,       .,2.2,0.0,1.5,2.7,2.2,0.0,1.5,2.7,2.2,0.0,1.5,2.7
37,BU16801209,BU16801209,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
38,WK168013,WK168013,0.0,0.4,5.1,       .,       .,       .,       .,3.1,0.0,0.5,4.0,3.1,0.0,0.5,5.5,3.1,0.0,0.5,3.0
39,BU16801300,BU16801300,0.0,0.5,4.9,       .,       .,       .,       .,2.9,0.0,0.6,4.0,2.9,0.0,0.6,5.5,2.9,0.0,0.6,2.9
40,BU16801309,BU16801309,0.0,0.0,5.4,       .,       .,       .,       .,3.5,0.0,0.1,4.1,3.5,0.0,0.1,5.6,3.5,0.0,0.1,3.1
41,WK168014,WK168014,2.1,6.5,12.9,       .,       .,       .,       .,0.7,1.5,2.2,6.1,0.7,1.5,2.3,7.7,0.9,0.7,1.6,6.0
42,BU16801400,BU16801400,2.5,6.7,13.2,       .,       .,       .,       .,0.4,1.8,2.0,6.2,0.4,1.8,2.0,7.8,0.6,0.9,1.5,6.3
43,BU16801401,BU16801401,0.5,3.9,12.2,       .,       .,       .,       .,2.4,0.0,2.0,6.9,2.4,0.0,2.0,8.9,2.5,0.0,1.3,5.9
44,BU16801409,BU16801409,0.6,6.1,10.8,       .,       .,       .,       .,1.9,0.0,4.0,5.0,1.9,0.0,4.9,6.3,2.2,0.0,2.7,4.0
45,WK168015,WK168015,0.9,1.1,5.3,       .,       .,       .,       .,0.7,0.9,1.0,2.6,0.7,0.9,1.0,2.6,0.7,1.7,2.0,2.9
46,BU16801500,BU16801500,0.9,1.1,5.3,       .,       .,       .,       .,0.7,0.9,1.0,2.6,0.7,0.9,1.0,2.6,0.7,1.7,2.0,2.9
47,BU16801501,BU16801501,0.0,1.4,3.4,       .,       .,       .,       .,2.0,0.0,1.3,2.1,2.0,0.0,1.3,2.1,2.0,0.0,2.3,3.0
48,BU16801509,BU16801509,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
49,WK168016,WK168016,0.0,5.1,15.3,       .,       .,       .,       .,2.3,0.0,1.8,5.9,2.3,0.0,1.2,4.9,1.9,0.3,2.8,7.9
50,BU16801600,BU16801600,0.0,5.6,16.3,       .,       .,       .,       .,2.2,0.0,1.9,6.2,2.2,0.0,1.3,5.2,1.8,0.4,3.0,8.2
51,BU16801601,BU16801601,0.0,0.0,3.9,       .,       .,       .,       .,3.7,0.0,0.0,3.6,3.7,0.0,0.0,2.3,3.5,0.0,0.0,4.4
52,BU16801609,BU16801609,0.0,0.7,3.0,       .,       .,       .,       .,1.7,0.0,1.0,1.3,1.7,0.0,1.0,1.3,1.7,0.0,2.0,3.0
53,WK168017,WK168017,2.7,4.2,9.7,       .,       .,       .,       .,0.6,2.0,3.9,6.3,0.5,3.1,5.9,8.3,0.7,1.5,2.9,4.6
54,BU16801700,BU16801700,2.8,4.3,9.7,       .,       .,       .,       .,0.5,2.1,4.0,6.3,0.5,3.2,6.0,8.3,0.7,1.6,3.0,4.6
55,BU16801709,BU16801709,0.1,3.3,7.8,       .,       .,       .,       .,2.7,0.0,2.2,5.3,2.6,0.0,3.1,7.2,2.7,0.0,1.6,4.2
56,WK168018,WK168018,0.6,1.1,3.0,       .,       .,       .,       .,1.3,0.5,1.0,2.6,1.4,0.5,1.0,2.5,1.4,0.5,1.0,2.8
