ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToSchool_64,Within3Km_65,Within5Km_66,Within10Km_67,DistanceToSchool_68,Within3Km_69,Within5Km_70,Within10Km_71,DistanceToSchool_72,Within3Km_73,Within5Km_74,Within10Km_75,DistanceToPublicGreenTotal_76,DistanceToParkOrPublicGarden_77,DistanceToRecreationalTerrain_78,DistanceToForest_79,DistanceToOpenNatTerrainTotal_80,DistanceToOpenDryNaturalTerrain_81,DistanceToOpenWetNaturalTerrain_82
0,NL00,NL00,2.5,3.6,7.8,20.0,2.6,2.8,6.0,15.5,3.4,2.0,4.3,10.9,       .,       .,       .,       .,       .,       .,       .
1,GM1680,GM1680,5.7,0.2,0.4,3.4,5.7,0.2,0.4,3.0,11.3,0.0,0.0,0.7,       .,       .,       .,       .,       .,       .,       .
2,WK168000,WK168000,7.6,0.0,0.0,1.0,7.6,0.0,0.0,1.0,13.8,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
3,BU16800000,BU16800000,7.6,0.0,0.0,1.0,7.6,0.0,0.0,1.0,13.8,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
4,BU16800009,BU16800009,7.1,0.0,0.1,1.0,7.1,0.0,0.1,1.0,12.9,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
5,WK168001,WK168001,3.9,0.0,1.0,1.0,3.9,0.0,1.0,1.0,15.0,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
6,BU16800100,BU16800100,3.9,0.0,1.0,1.0,3.9,0.0,1.0,1.0,15.0,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
7,BU16800109,BU16800109,4.2,0.2,0.8,1.0,4.2,0.2,0.8,1.0,14.7,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
8,WK168002,WK168002,8.4,0.0,0.0,1.0,8.4,0.0,0.0,1.0,12.0,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
9,BU16800200,BU16800200,8.4,0.0,0.0,1.0,8.4,0.0,0.0,1.0,11.9,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
10,BU16800209,BU16800209,8.5,0.0,0.0,1.0,8.5,0.0,0.0,1.0,12.3,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
11,WK168003,WK168003,8.3,0.0,0.0,5.9,8.3,0.0,0.0,4.5,9.1,0.0,0.0,1.4,       .,       .,       .,       .,       .,       .,       .
12,BU16800300,BU16800300,8.2,0.0,0.0,6.0,8.2,0.0,0.0,4.5,9.1,0.0,0.0,1.5,       .,       .,       .,       .,       .,       .,       .
13,BU16800309,BU16800309,9.1,0.0,0.0,3.7,9.1,0.0,0.0,3.0,9.9,0.0,0.0,0.7,       .,       .,       .,       .,       .,       .,       .
14,WK168004,WK168004,7.6,0.0,0.0,2.2,7.6,0.0,0.0,2.2,11.0,0.0,0.0,0.1,       .,       .,       .,       .,       .,       .,       .
15,BU16800400,BU16800400,7.6,0.0,0.0,2.0,7.6,0.0,0.0,2.0,11.1,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
16,BU16800409,BU16800409,7.4,0.0,0.0,4.0,7.4,0.0,0.0,3.3,10.5,0.0,0.0,0.7,       .,       .,       .,       .,       .,       .,       .
17,WK168005,WK168005,11.7,0.0,0.0,0.0,11.7,0.0,0.0,0.0,13.4,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
18,BU16800500,BU16800500,11.7,0.0,0.0,0.0,11.7,0.0,0.0,0.0,13.4,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
19,BU16800509,BU16800509,11.5,0.0,0.0,0.0,11.5,0.0,0.0,0.0,13.7,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
20,WK168006,WK168006,7.4,0.0,0.0,3.4,7.4,0.0,0.0,3.2,9.5,0.0,0.0,1.1,       .,       .,       .,       .,       .,       .,       .
21,BU16800600,BU16800600,7.4,0.0,0.0,3.5,7.4,0.0,0.0,3.3,9.4,0.0,0.0,1.1,       .,       .,       .,       .,       .,       .,       .
22,BU16800609,BU16800609,7.5,0.0,0.0,1.4,7.5,0.0,0.0,1.4,10.5,0.0,0.0,0.2,       .,       .,       .,       .,       .,       .,       .
23,WK168007,WK168007,9.2,0.0,0.0,2.9,9.2,0.0,0.0,2.6,9.3,0.0,0.0,1.3,       .,       .,       .,       .,       .,       .,       .
24,BU16800700,BU16800700,9.2,0.0,0.0,2.9,9.2,0.0,0.0,2.6,9.3,0.0,0.0,1.3,       .,       .,       .,       .,       .,       .,       .
25,BU16800709,BU16800709,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
26,WK168008,WK168008,9.6,0.0,0.0,1.4,9.6,0.0,0.0,1.4,10.4,0.0,0.0,0.4,       .,       .,       .,       .,       .,       .,       .
27,BU16800800,BU16800800,9.6,0.0,0.0,1.5,9.6,0.0,0.0,1.5,10.4,0.0,0.0,0.5,       .,       .,       .,       .,       .,       .,       .
28,BU16800809,BU16800809,9.6,0.0,0.0,0.6,9.6,0.0,0.0,0.6,11.1,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
29,WK168009,WK168009,9.3,0.0,0.0,3.5,9.3,0.0,0.0,3.4,9.3,0.0,0.0,2.5,       .,       .,       .,       .,       .,       .,       .
30,BU16800900,BU16800900,9.3,0.0,0.0,3.4,9.3,0.0,0.0,3.4,9.3,0.0,0.0,2.5,       .,       .,       .,       .,       .,       .,       .
31,BU16800909,BU16800909,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
32,WK168011,WK168011,8.1,0.0,0.0,6.0,8.1,0.0,0.0,5.0,8.3,0.0,0.0,3.0,       .,       .,       .,       .,       .,       .,       .
33,BU16801100,BU16801100,8.1,0.0,0.0,6.0,8.1,0.0,0.0,5.0,8.3,0.0,0.0,3.0,       .,       .,       .,       .,       .,       .,       .
34,BU16801109,BU16801109,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
35,WK168012,WK168012,7.3,0.0,0.0,6.0,7.3,0.0,0.0,5.0,7.3,0.0,0.0,2.0,       .,       .,       .,       .,       .,       .,       .
36,BU16801200,BU16801200,7.3,0.0,0.0,6.0,7.3,0.0,0.0,5.0,7.3,0.0,0.0,2.0,       .,       .,       .,       .,       .,       .,       .
37,BU16801209,BU16801209,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
38,WK168013,WK168013,4.6,0.0,0.9,1.0,4.6,0.0,0.9,1.0,11.7,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
39,BU16801300,BU16801300,4.6,0.0,1.0,1.0,4.6,0.0,1.0,1.0,11.8,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
40,BU16801309,BU16801309,4.7,0.0,0.9,1.0,4.7,0.0,0.9,1.0,11.7,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
41,WK168014,WK168014,5.1,0.0,0.3,2.0,5.1,0.0,0.3,2.0,11.8,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
42,BU16801400,BU16801400,5.2,0.0,0.2,2.0,5.2,0.0,0.2,2.0,11.6,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
43,BU16801401,BU16801401,4.4,0.0,0.9,2.0,4.4,0.0,0.9,2.0,12.1,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
44,BU16801409,BU16801409,4.2,0.2,0.7,2.2,4.2,0.2,0.7,2.2,13.0,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
45,WK168015,WK168015,7.6,0.0,0.0,6.5,7.6,0.0,0.0,6.5,8.0,0.0,0.0,1.0,       .,       .,       .,       .,       .,       .,       .
46,BU16801500,BU16801500,7.6,0.0,0.0,6.5,7.6,0.0,0.0,6.5,8.0,0.0,0.0,1.0,       .,       .,       .,       .,       .,       .,       .
47,BU16801501,BU16801501,7.6,0.0,0.0,4.5,7.6,0.0,0.0,4.5,9.6,0.0,0.0,1.0,       .,       .,       .,       .,       .,       .,       .
48,BU16801509,BU16801509,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
49,WK168016,WK168016,3.7,0.9,3.4,5.0,3.7,0.9,3.4,5.0,4.1,0.3,0.8,1.0,       .,       .,       .,       .,       .,       .,       .
50,BU16801600,BU16801600,3.5,1.0,3.7,5.0,3.5,1.0,3.7,5.0,3.9,0.3,0.8,1.0,       .,       .,       .,       .,       .,       .,       .
51,BU16801601,BU16801601,5.7,0.0,0.3,5.0,5.7,0.0,0.3,5.0,6.1,0.0,0.0,1.0,       .,       .,       .,       .,       .,       .,       .
52,BU16801609,BU16801609,6.7,0.0,0.0,6.0,6.7,0.0,0.0,6.0,7.1,0.0,0.0,1.0,       .,       .,       .,       .,       .,       .,       .
53,WK168017,WK168017,1.3,1.0,1.0,1.3,1.3,1.0,1.0,1.3,14.4,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
54,BU16801700,BU16801700,1.3,1.0,1.0,1.3,1.3,1.0,1.0,1.3,14.5,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
55,BU16801709,BU16801709,3.5,0.3,0.9,1.3,3.5,0.3,0.9,1.3,12.7,0.0,0.0,0.0,       .,       .,       .,       .,       .,       .,       .
56,WK168018,WK168018,7.1,0.0,0.0,3.3,7.1,0.0,0.0,3.1,9.5,0.0,0.0,0.8,       .,       .,       .,       .,       .,       .,       .
57,BU16801800,BU16801800,7.1,0.0,0.0,1.3,7.1,0.0,0.0,1.3,10.3,0.0,0.0,0.2,       .,       .,       .,       .,       .,       .,       .
