ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToSemiPublicGreenTotal_83,DistanceToSportsArea_84,DistanceToAllotmentGarden_85,DistanceToRecreationalArea_86,DistanceToCemetery_87,DistanceToRecreationalInlandWaters_88,DistanceToMainRoadEntrance_89,DistanceToTrainStationAllTypes_90,DistanceToImportantTransferStation_91,DistanceToLibrary_92,DistanceToSwimmingPool_93,DistanceToArtificialIceSkatingRink_94,DistanceToMuseum_95,Within5Km_96,Within10Km_97,Within20Km_98
0,NL00,NL00,       .,       .,       .,       .,       .,       .,1.9,5.3,10.8,2.0,3.4,19.5,4.3,3.3,8.1,21.3
1,GM1680,GM1680,       .,       .,       .,       .,       .,       .,1.5,12.4,14.4,2.7,9.8,32.2,8.0,0.1,1.0,6.3
2,WK168000,WK168000,       .,       .,       .,       .,       .,       .,1.5,13.3,14.3,0.8,5.3,24.9,5.7,0.1,1.0,8.0
3,BU16800000,BU16800000,       .,       .,       .,       .,       .,       .,1.5,13.2,14.2,0.7,5.2,24.8,5.7,0.1,1.0,8.0
4,BU16800009,BU16800009,       .,       .,       .,       .,       .,       .,2.6,13.7,15.3,2.1,6.9,26.5,7.2,0.0,1.0,8.0
5,WK168001,WK168001,       .,       .,       .,       .,       .,       .,3.9,13.8,13.8,3.8,10.4,30.0,10.7,0.0,0.1,6.3
6,BU16800100,BU16800100,       .,       .,       .,       .,       .,       .,3.9,13.6,13.6,3.9,10.5,30.1,10.8,0.0,0.0,6.1
7,BU16800109,BU16800109,       .,       .,       .,       .,       .,       .,3.6,15.4,15.6,3.3,9.4,29.0,9.6,0.0,0.7,7.0
8,WK168002,WK168002,       .,       .,       .,       .,       .,       .,1.0,11.8,11.8,2.4,7.3,26.6,8.0,0.0,1.0,9.0
9,BU16800200,BU16800200,       .,       .,       .,       .,       .,       .,1.0,11.8,11.8,2.4,7.3,26.5,8.1,0.0,1.0,9.0
10,BU16800209,BU16800209,       .,       .,       .,       .,       .,       .,1.1,12.2,12.2,2.5,7.4,26.8,8.0,0.0,1.0,8.8
11,WK168003,WK168003,       .,       .,       .,       .,       .,       .,3.8,9.0,9.0,5.2,7.9,26.9,9.2,0.0,1.4,8.5
12,BU16800300,BU16800300,       .,       .,       .,       .,       .,       .,3.8,9.0,9.0,5.3,7.9,26.9,9.2,0.0,1.5,8.5
13,BU16800309,BU16800309,       .,       .,       .,       .,       .,       .,3.3,9.8,9.8,4.7,8.1,27.2,9.3,0.0,1.0,8.7
14,WK168004,WK168004,       .,       .,       .,       .,       .,       .,4.9,9.6,9.6,4.4,12.0,31.6,10.8,0.0,0.0,4.2
15,BU16800400,BU16800400,       .,       .,       .,       .,       .,       .,5.0,9.6,9.6,4.4,12.1,31.6,10.8,0.0,0.0,4.1
16,BU16800409,BU16800409,       .,       .,       .,       .,       .,       .,4.4,9.1,9.1,3.9,11.4,32.1,10.3,0.0,0.4,4.7
17,WK168005,WK168005,       .,       .,       .,       .,       .,       .,2.1,12.2,13.3,3.6,3.3,22.4,4.6,0.8,1.0,13.1
18,BU16800500,BU16800500,       .,       .,       .,       .,       .,       .,2.0,12.2,13.2,3.5,3.2,22.3,4.5,0.9,1.0,13.4
19,BU16800509,BU16800509,       .,       .,       .,       .,       .,       .,2.6,12.8,13.8,4.1,3.8,22.9,5.1,0.4,1.0,10.3
20,WK168006,WK168006,       .,       .,       .,       .,       .,       .,1.7,10.7,20.5,7.3,9.4,29.7,9.9,0.0,0.7,5.0
21,BU16800600,BU16800600,       .,       .,       .,       .,       .,       .,1.6,10.7,20.6,7.3,9.3,29.7,9.8,0.0,0.8,5.0
22,BU16800609,BU16800609,       .,       .,       .,       .,       .,       .,2.9,11.8,20.3,7.3,10.4,29.4,10.9,0.0,0.0,5.0
23,WK168007,WK168007,       .,       .,       .,       .,       .,       .,3.4,10.7,17.7,4.4,7.7,25.7,7.8,0.0,2.0,8.9
24,BU16800700,BU16800700,       .,       .,       .,       .,       .,       .,3.4,10.7,17.7,4.4,7.7,25.7,7.8,0.0,2.0,8.9
25,BU16800709,BU16800709,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
26,WK168008,WK168008,       .,       .,       .,       .,       .,       .,4.0,11.8,18.7,5.4,8.8,26.8,8.9,0.0,1.0,7.2
27,BU16800800,BU16800800,       .,       .,       .,       .,       .,       .,4.0,11.8,18.6,5.2,8.7,26.7,8.8,0.0,1.1,7.4
28,BU16800809,BU16800809,       .,       .,       .,       .,       .,       .,4.1,12.4,20.0,6.6,10.0,28.0,10.1,0.0,0.4,5.7
29,WK168009,WK168009,       .,       .,       .,       .,       .,       .,3.6,10.2,19.0,5.7,7.1,25.1,7.2,0.0,1.3,7.5
30,BU16800900,BU16800900,       .,       .,       .,       .,       .,       .,3.6,10.2,19.0,5.7,7.1,25.1,7.2,0.0,1.3,7.5
31,BU16800909,BU16800909,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
32,WK168011,WK168011,       .,       .,       .,       .,       .,       .,1.9,9.7,20.5,7.1,8.1,26.6,8.7,0.0,1.3,5.0
33,BU16801100,BU16801100,       .,       .,       .,       .,       .,       .,1.9,9.6,20.5,7.1,8.1,26.6,8.7,0.0,1.3,5.0
