ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToPerformingArts_99,Within5Km_100,Within10Km_101,Within20Km_102,DistanceToPopMusicVenue_103,DistanceToCinema_104,Within5Km_105,Within10Km_106,Within20Km_107,DistanceToSauna_108,DistanceToTanningSalon_109,DistanceToAttraction_110,Within10Km_111,Within20Km_112,Within50Km_113,DistanceToFireStation_114
0,NL00,NL00,4.9,2.9,6.9,16.2,10.2,6.5,1.3,2.9,7.3,8.4,4.2,5.6,3.0,8.8,41.0,2.2
1,GM1680,GM1680,11.4,0.0,0.4,2.6,28.8,11.8,0.0,0.3,1.8,18.9,10.8,7.5,0.9,4.5,22.3,2.7
2,WK168000,WK168000,14.1,0.0,0.0,3.1,21.3,14.5,0.0,0.0,2.3,13.9,13.6,5.6,1.0,5.0,21.8,1.3
3,BU16800000,BU16800000,14.1,0.0,0.0,3.1,21.2,14.5,0.0,0.0,2.3,13.8,13.7,5.6,1.0,5.0,21.8,1.3
4,BU16800009,BU16800009,13.3,0.0,0.0,3.3,23.0,14.2,0.0,0.0,2.3,15.4,12.7,7.1,1.0,5.0,21.4,1.7
5,WK168001,WK168001,14.9,0.0,0.0,3.9,26.4,15.1,0.0,0.0,2.9,18.4,14.2,9.7,0.7,4.2,21.8,4.2
6,BU16800100,BU16800100,14.9,0.0,0.0,4.0,26.6,14.9,0.0,0.0,3.0,18.5,14.1,9.9,0.7,4.1,21.8,4.3
7,BU16800109,BU16800109,15.1,0.0,0.0,3.7,25.4,16.3,0.0,0.0,2.8,17.5,14.4,8.9,1.0,5.1,21.8,3.1
8,WK168002,WK168002,12.9,0.0,0.0,3.0,23.0,12.9,0.0,0.0,2.0,12.6,12.2,7.9,1.0,5.0,23.7,2.6
9,BU16800200,BU16800200,12.8,0.0,0.0,3.0,23.0,12.8,0.0,0.0,2.0,12.5,12.1,7.9,1.0,5.0,23.9,2.6
10,BU16800209,BU16800209,13.3,0.0,0.0,3.0,23.2,13.3,0.0,0.0,2.0,12.8,12.5,7.9,1.0,5.0,22.9,2.7
11,WK168003,WK168003,10.1,0.0,0.4,3.0,23.4,10.1,0.0,0.4,2.0,11.2,9.3,8.9,1.5,4.5,25.0,5.4
12,BU16800300,BU16800300,10.1,0.0,0.4,3.0,23.4,10.1,0.0,0.4,2.0,11.1,9.3,8.9,1.5,4.5,25.0,5.4
13,BU16800309,BU16800309,10.9,0.0,0.0,3.0,23.6,10.9,0.0,0.0,2.0,11.5,10.1,9.1,1.0,4.3,24.7,4.9
14,WK168004,WK168004,10.9,0.0,0.0,1.0,28.0,10.9,0.0,0.0,1.0,15.9,10.1,11.8,0.0,4.0,25.0,4.1
15,BU16800400,BU16800400,10.9,0.0,0.0,1.0,28.0,10.9,0.0,0.0,1.0,15.9,10.1,11.9,0.0,4.0,25.0,4.1
16,BU16800409,BU16800409,10.4,0.0,0.4,1.0,28.6,10.4,0.0,0.4,1.0,16.3,9.6,11.3,0.2,4.0,25.0,3.6
17,WK168005,WK168005,13.5,0.0,0.0,9.6,18.8,13.6,0.0,0.0,4.9,8.9,13.6,4.3,1.0,5.9,21.1,4.2
18,BU16800500,BU16800500,13.5,0.0,0.0,9.9,18.7,13.6,0.0,0.0,5.0,8.8,13.6,4.3,1.0,6.0,21.1,4.2
19,BU16800509,BU16800509,14.0,0.0,0.0,7.2,19.3,14.0,0.0,0.0,4.2,9.4,14.0,4.9,1.0,5.5,21.0,4.7
20,WK168006,WK168006,9.9,0.0,0.5,3.0,27.6,13.7,0.0,0.0,2.0,20.7,9.1,11.7,0.0,3.0,18.4,7.2
21,BU16800600,BU16800600,9.9,0.0,0.5,3.0,27.7,13.6,0.0,0.0,2.0,20.7,9.1,11.7,0.0,3.0,18.4,7.3
22,BU16800609,BU16800609,11.0,0.0,0.0,3.0,27.3,14.4,0.0,0.0,2.0,20.4,10.2,11.5,0.0,3.0,18.0,6.9
